,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan (AF),PHI,Excipients,ABITEC Corporation,(MANUAL_INPUT),"['Capsules', 'Injectables and Parenterals', 'Liposomes', 'Oral', 'Soft-gel Capsules', 'Solubilizer', 'Suspensions', 'Tablet Coating', 'Tablets', 'Topical']","['Solubilizer', 'Biological Buffers', 'Emulsifier', 'Carrier', 'Skin, Nails, Hair']",CAPMUL® MCM EP/NF,N/A,Liquid,,N/A,(MANUAL_INPUT),"['EP', 'USP/NF']",PIM000002664-capmul-mcm-ep-nf-tds-i-3.pdf,AAAA,['Animal Derived Component Free (ADCF)'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
1,Afghanistan (AF),PHI,Excipients,Ashland Specialty Ingredients,(MANUAL_INPUT),"['Capsules', 'Cream-based Ointment', 'Dental', 'Drinks', 'Gel-based Ointment', 'Injectables and Parenterals', 'Ophthalmic', 'Oral', 'Powder', 'Suspensions', 'Syrups', 'Tablet Coating', 'Tablets', 'Taste Improvement, Taste Masking', 'Thickener, Viscosity Modifier', 'Topical']","['Binder', 'Thickener, Viscosity Modifier', 'Emulsifier', 'Tablet Coating', 'Disintegrant', 'Bulking Agent', 'Preservative', 'Taste Improvement, Taste Masking']",AQUALON CMC 12M31P BAG 22.68KG,N/A,Powder,,N/A,(MANUAL_INPUT),['USP/NF'],PIM000005274-AQUALON CMC 12M31P.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
2,Afghanistan (AF),PHI,,❌ Error: Some Problem with PDF File,,,,❌ Error: Some Problem with PDF File,,,,,(MANUAL_INPUT),,PIM000005338-BANANA SPRAY DRIED FLAVOUR (ASD1053).pdf,AAAA,,(MANUAL_INPUT),(MANUAL_INPUT),,
3,Afghanistan (AF),PHI,API,WeylChem International GmbH,(MANUAL_INPUT),"['Synthesis', 'Reagent', 'Protecting Group', 'Biochemical & Reagent']","['Adjuvant', 'Building Block', 'Catalyst', 'Coupling Reagent', 'Disinfection', 'pH Adjusters', 'Preservative', 'Protecting Group', 'Solubilizer', 'Surfactant', 'Thickener, Viscosity Modifier']",Allessan® CAP,68957-94-8,Liquid,,N/A,(MANUAL_INPUT),[],PIM000009041-Allessan CAP.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
4,Afghanistan (AF),PHI,Excipients,Ashland Specialty Ingredients,(MANUAL_INPUT),"['Capsules', 'Granules', 'Microspheres', 'Oral', 'Oral Dispersible', 'Pellets', 'Powder', 'Suspensions', 'Tablet Coating', 'Tablets', 'Taste Improvement, Taste Masking', 'Thickener, Viscosity Modifier']","['Binder', 'Controlled Release Matrix', 'Tablet Coating']",AQUALON EC-N7 PHARM BAG 18.14KG,N/A,Powder,,N/A,(MANUAL_INPUT),['USP/NF'],PIM000009048-AQUALON EC-N7 PHARM Spec.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Free from Nitrosamine Impurities', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan (AF),PHI,Intermediates & Reagents,Jost Chemical Co.,(MANUAL_INPUT),"['Biological Buffer & Denaturant', 'Mineral & Nutrient', 'Reagent', 'Solutions', 'Synthesis', 'Tablet Coating', 'Tablets']","['Buffer, pH Adjustment', 'Biological Buffers', 'pH Adjusters', 'Therapeutic Nutrients/Minerals/Electrolytes', 'Vitamins and Minerals']",Ammonium Citrate Tribasic FCC Granular,3458-72-8,Granule,,N/A,(MANUAL_INPUT),[],PIM000009284-Ammonium Citrate Tribasic Product Sheet.pdf,AAAA,['Animal Derived Component Free (ADCF)'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
6,Afghanistan (AF),PHI,Animal Care,Anco Animal Nutrition Competence GmbH,(MANUAL_INPUT),"['Animal Health', 'Animal Nutrition', 'Mineral & Nutrient', 'Probiotic']","['Feed Additive', 'Gut Health', 'Anti-aging / Oxidant / Cancer / Inflammatory', 'General Health', 'Immune System']",Anco®FIT Poultry,N/A,Powder,,1.0 - 2.0 kg Anco®FIT Poultry per ton of animal feed.,(MANUAL_INPUT),[],PIM000010112-Anco®FIT- Poultry Specification.pdf,AAAA,['Animal Derived Component Free (ADCF)'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan (AF),PHI,Animal Care,Diamond V,(MANUAL_INPUT),"['Animal Health', 'Animal Nutrition', 'Solutions', 'Probiotic']","['Feed Additive', 'Gut Health', 'Immune System', 'General Health']",AviCare,N/A,Liquid,,AviCare is recommended at 25 oz/gal (200 ml/L) for stock solution and 20 oz/100 gal (160 ml/100L) for drinking water application.,(MANUAL_INPUT),['GMP'],PIM000023114-9.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
8,Afghanistan (AF),PHI,Nutraceuticals,"WILD Flavors, Inc.",(MANUAL_INPUT),"['Drinks', 'Effervescent', 'Oral', 'Oral Dispersible', 'Suspensions', 'Syrups', 'Taste Improvement, Taste Masking', 'Tablets']","['Taste Improvement, Taste Masking', 'Dental and Oral Agents', 'Respiratory Tract Agents', 'Gastrointestinal Agents', 'General Health']",ANISE MINT FLAVOR,N/A,Liquid,,N/A,(MANUAL_INPUT),[],PIM000026996-Anise Mint.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
9,Afghanistan (AF),PHI,Intermediates & Reagents,"Qi-Chem Co., Ltd",(MANUAL_INPUT),"['Synthesis', 'Reagent', 'Biochemical & Reagent']","['Building Block', 'Anti-inflammatory Agents', 'Antineoplastics', 'Central Nervous System Agents']","3,5-difluorobromobenzene",461-96-1,Liquid,,N/A,(MANUAL_INPUT),[],"PIM000027101-COA - 1-BROMO-3,5-DIFLUOROBENZENE.pdf",AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
10,Afghanistan (AF),PHI,Nutraceuticals,"Waitaki Biosciences, a division of Pharmazen Limited",(MANUAL_INPUT),"['Capsules', 'Drinks', 'Effervescent', 'Granules', 'Gummies', 'Powder', 'Probiotic', 'Soft-gel Capsules', 'Suspensions', 'Syrups', 'Tablets', 'Taste Improvement, Taste Masking', 'Weight Management']","['Anti-aging / Oxidant / Cancer / Inflammatory', 'Anti-inflammatory Agents', 'Botanicals', 'Enzymes', 'General Health', 'Gut Health', 'Immune System', 'Pre-, Pro- and Postbiotics', 'Therapeutic Nutrients/Minerals/Electrolytes', 'Vitamins and Minerals']",ActiPhen Kiwifruit Concentrate Powder,N/A,Powder,,N/A,(MANUAL_INPUT),[],PIM000029404-ActiPhen-Brochure-Colour-vWEB.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Plant-Based (Min. 80%)']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
11,Afghanistan (AF),PHI,Nutraceuticals,Waitaki Biosciences,(MANUAL_INPUT),"['Capsules', 'Powder', 'Tablets', 'Oral', 'Mineral & Nutrient', 'Weight Management']","['Anti-aging / Oxidant / Cancer / Inflammatory', 'Anti-inflammatory Agents', 'Cognitive Health', 'Eye Health', 'Cardiovascular Health', 'General Health', 'Immune System']",CassiPure,N/A,Powder,,N/A,(MANUAL_INPUT),[],PIM000029405-CassiPure-Brochure-vWEB.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Plant-Based (Min. 80%)']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
12,Afghanistan (AF),PHI,Intermediates & Reagents,Halocarbon Products Corporation,(MANUAL_INPUT),"['Biochemical & Reagent', 'Biological Buffer & Denaturant', 'Injectables and Parenterals', 'Reagent', 'Solubilizer', 'Synthesis', 'Nucleosides and Derivatives', 'Recombinant Proteins and Cytokines', 'mRNA Research', 'Medical Devices']","['Anesthetics', 'Building Block', 'Central Nervous System Agents', 'Solubilizer']",TRIFLUOROETHANOL,75-89-8,Liquid,,N/A,(MANUAL_INPUT),[],PIM000044179-DKSH_TrifluoroEthanol_SDS.pdf,AAAA,[],(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
13,Afghanistan (AF),PHI,Excipients,Vikram Thermo (India) Limited,(MANUAL_INPUT),"['Gel-based Ointment', 'Cream-based Ointment', 'Topical', 'Suspensions', 'Solutions', 'Thickener, Viscosity Modifier']","['Thickener, Viscosity Modifier', 'Emulsifier', 'Disintegrant', 'Tablet Coating', 'Taste Improvement, Taste Masking', 'Skin, Nails, Hair', 'Surfactant']",AQUAPOL SF-1,N/A,Dispersion,,The minimum usage level of AQUAPOL® SF-1 in surfactant-based products is 5.0% dispersion (1.5% DS). Clear products containing no salt and low surfactant actives typically require 8-10% w/w dispersion (2.4-3.0% DS).,(MANUAL_INPUT),[],PIM000045069-AQUAPOL SF 1 - TDS.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Free from Nitrosamine Impurities', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
14,Afghanistan (AF),PHI,API,Refarmed Chemicals,(MANUAL_INPUT),"['Injectables and Parenterals', 'Oral', 'Oral Dispersible', 'Tablets', 'Capsules']","['Cardiovascular Agents', 'Blood Products/Modifiers/Volume Expanders']",Apixaban,N/A,Powder,,N/A,(MANUAL_INPUT),['DMF'],PIM000064633-APIXABAN_TDS.pdf,AAAA,['Free from Solvents Class 1'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
15,Afghanistan (AF),PHI,,❌ Error: (HTTP 400),,,,❌ Error: (HTTP 400),,,,,(MANUAL_INPUT),,PIM000072962-Glass_bottle_Gerresheimer.pdf,AAAA,,(MANUAL_INPUT),(MANUAL_INPUT),,
16,Afghanistan (AF),PHI,Excipients,Imerys Carbonates,(MANUAL_INPUT),"['Capsules', 'Gummies', 'Mineral & Nutrient', 'Powder', 'Suspensions', 'Tablets', 'Taste Improvement, Taste Masking', 'Thickener, Viscosity Modifier', 'Topical']","['Anti-inflammatory Agents', 'Bone and Joint management', 'Dental and Oral Agents', 'Diluent, Filler', 'Minerals and Nutrients', 'Therapeutic Nutrients/Minerals/Electrolytes', 'Vitamins and Minerals']",Calcius™ P50,471-34-1,Powder,,N/A,(MANUAL_INPUT),"['EP', 'USP/NF', 'GMP']",PIM000093204-TB_Calcius_P50_2018-01.pdf,AAAA,"['Animal Derived Component Free (ADCF)', 'Free from Nitrosamine Impurities', 'Free from Solvents Class 1']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
17,Afghanistan (AF),PHI,Biopharma,TdB Labs AB,(MANUAL_INPUT),"['Biochemical & Reagent', 'Cell Culture Supplement', 'Injectables and Parenterals', 'Liposomes', 'Microspheres', 'Reagent', 'Solutions', 'Suspensions', 'Synthesis', 'Thickener, Viscosity Modifier', 'Vaccines']","['Reporter', 'Immune System', 'Biological Buffers', 'Carrier', 'Recombinant Proteins and Cytokines']",Antonia Red™-lysine-dextran,N/A,Powder,,N/A,(MANUAL_INPUT),[],PIM000102562-Antonia Red-lysine-dextran.pdf,AAAA,['Animal Derived Component Free (ADCF)'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
18,Afghanistan (AF),PHI,Packing Materials,ACG Pharmapack Pvt. Ltd.,(MANUAL_INPUT),"['Capsules', 'Tablets', 'Powder', 'Granules', 'Primary Packaging', 'Medical Devices']","['Preservative', 'Tablet Coating', 'Taste Improvement, Taste Masking']",APET/PVdC 250/40,N/A,Solid,,N/A,(MANUAL_INPUT),['GMP'],PIM000111739-APET.PVdC 250.40.pdf,AAAA,['Animal Derived Component Free (ADCF)'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
