,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,PRODUCT_DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan,FBI,Food Supplements & Nutrition,Muntons,['Plant (Vegetal)'],"['Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Confectionery', 'Dairy', 'Nutraceuticals - Drinks', 'Processed Food', 'Sauces', 'Sweet Snack']","['Sweetener', 'Flavour Enhancer', 'Colour & Colour Retention Agent', 'Fortification/Nutraceutical', 'Other']",ACTIMALT LIQUID REGULAR,N/A,Liquid,"ACTIMALT LIQUID REGULAR is a viscous, yellow-brown syrup produced by enzyme-assisted hot water extraction of barley and malted barley, followed by filtration and concentration under vacuum evaporation. This natural malt extract contains a soluble extract of barley and malted barley typically ranging from 77.1% to 79.6%, with water content around 20.4% to 22.9%. It has a pleasant, characteristic cereal and malt odour and a sweet taste with a distinctive malt flavor. The product is rich in fermentable sugars such as maltose and maltotriose, making it an excellent natural sweetener and flavor enhancer. ACTIMALT LIQUID REGULAR is widely used in the food and beverage industry for applications including baked goods, confectionery, beverages, and dairy products, where it contributes to flavor, color, moisture retention, and nutritional value. It also serves as a fermentation aid in brewing, supporting yeast activity. Additionally, it contains essential nutrients like B vitamins and trace minerals. While it contains gluten, it is suitable for vegan, non-GMO, Halal, and Kosher diets. Its versatility extends beyond food, with potential uses in cosmetics for moisturizing and antioxidant properties, aligning with consumer demand for natural ingredients.",N/A,(MANUAL_INPUT),['HACCP'],PIM000003031-Actimalt Liquid Regular.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),"['General Health', 'Vitamins and Minerals', 'Sports nutrition', 'Immune system']",(MUST_INPUT)
1,Afghanistan,FBI,Confectionery & Bakery,"WILD Flavors, Inc.","['Plant (Vegetal)', 'Nature-Identical (chemically equivalent to natural)', 'Synthetic, Chemically Manufactured', 'Processing Aid, Carrier (solvents, anticaking agents, fillers)']","['Alcoholic Beverage', 'Beverage', 'Biscuit', 'Bread, Cakes & Pastries, Frozen Dough', 'Breakfast Cereals/Bars', 'Confectionery', 'Dairy', 'Desserts & Ice Cream', 'Plant-Based Meat Alternative', 'Sauces', 'Plant-Based Dairy Alternative']","['Flavouring & Flavour Modulation', 'Flavour Enhancer', 'Colour & Colour Retention Agent', 'Sweetener', 'Humectant']",FAMB279 N&A BROWN SUGAR TYPE FL,N/A,Powder,"FAMB279 N&A BROWN SUGAR TYPE FL from WILD Flavors, Inc. is a light brown to tan powder designed to replicate the rich, complex flavor profile of maple brown sugar. This flavoring product is composed of ingredients such as gum arabic, maltodextrin, nature identical flavor, dextrose derived from genetically modified corn, silicon dioxide, propylene glycol, glycerine, caramel color from genetically modified corn, and sulfites. It features a moisture content below 10% and a granulation size with over 90% passing through a #20 USS sieve, ensuring a fine, consistent powder suitable for diverse applications. The product is microbiologically controlled to meet stringent safety standards, including limits on coliforms, E. coli, molds, yeasts, and Salmonella, making it safe for use in food products compliant with the Federal Food, Drug, and Cosmetic Act. FAMB279 N&A BROWN SUGAR TYPE FL excels in imparting a natural brown sugar flavor with molasses and caramel notes, enhancing the sensory profile of baked goods, beverages, sauces, and confectionery items. Its functional properties include moisture retention and color development through Maillard reactions, contributing to improved texture, freshness, and appealing appearance in finished products. The flavor is versatile, suitable for bakery, beverage, savory, dairy, and health and wellness applications, aligning with current market trends favoring natural, flavorful, and clean-label ingredients. Packaged for ambient storage with a recommended shelf life of 270 days, this product supports manufacturers in delivering authentic brown sugar taste experiences with consistent quality and safety.",N/A,(MANUAL_INPUT),"['GRAS, FEMAGRAS']",PIM000003047-8. FAMB279 BROWN SUGAR TYPE FL.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
2,Afghanistan,FBI,Food Supplements & Nutrition,SVZ Tomaszow Sp. z o.o.,['Plant (Vegetal)'],"['Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Confectionery', 'Dairy', 'Desserts & Ice Cream', 'Meat Products', 'Nutraceuticals - Drinks']","['Antioxidant', 'Fortification/Nutraceutical', 'Preservative', 'Firming Agent', 'Flavouring & Flavour Modulation', 'Probiotic/Postbiotic']","Acerola juice concentrate, clarified R=64-68",N/A,Liquid,"Acerola juice concentrate, clarified R=64-68, produced by SVZ Tomaszow Sp. z o.o., is a high-quality juice concentrate derived from sound and mature acerola fruits (Malpighia glabra L.). The product undergoes a meticulous process including selection, depectinization, filtration, concentration, and packaging to ensure purity and clarity. This concentrate exhibits a Brix refractometer value between 64.0 and 68.0, with a corrected Brix range of 65.2 to 69.9, and a specific gravity of 1.320 to 1.349, indicating a dense, syrupy liquid form. It has a pH range of 2.7 to 3.5, reflecting its naturally acidic profile. The concentrate is rich in vitamin C, containing 6000 to 8000 mg/kg, and features acidity as malic acid between 6.0 and 10.0 g/100g. Its sensory attributes include an aromatic, typical acerola flavor with a sweet and acidic taste, and a visually appealing orange-yellow color. The product complies with stringent microbiological standards and pesticide residue regulations, ensuring safety and quality. Acerola juice concentrate is valued for its potent antioxidant properties and natural vitamin C content, making it ideal for use in beverages, bakery, confectionery, dairy, frozen desserts, meat products, and nutraceuticals. Its clarified form enhances product stability and clarity, supporting clean-label trends and functional food development. The concentrate is recommended to be stored frozen with a shelf life of 24 months, preserving its nutritional and sensory qualities for diverse industrial applications.",N/A,(MANUAL_INPUT),"['ISO', 'HACCP']",PIM000003729-4. Acerola JC_TH.pdf,AAAA,"['Natural & Ethically Sourced', 'Resource & Energy Optimization']",(MANUAL_INPUT),(MANUAL_INPUT),"['Anti-aging, Antioxidant, Anti-Cancer, Anti-Inflammatory', 'General Health', 'Immune system', 'Gut health', 'Vitamins and Minerals', 'Skin, Nails, Hair', 'Women and Men wellness']",(MUST_INPUT)
3,Afghanistan,FBI,Confectionery & Bakery,DSM Food Specialties B.V.,"['Microbial, Fungal (yeast, bacteria)', 'Fermentation, Biotech-Derived', 'Processing Aid, Carrier (solvents, anticaking agents, fillers)']",['Dairy'],"['Food Enzyme', 'Flavouring & Flavour Modulation', 'Other']",Accelerzyme CPG BF,N/A,Liquid,"Accelerzyme CPG BF is a liquid carboxypeptidase enzyme preparation produced by DSM Food Specialties B.V., derived from a selected strain of Aspergillus niger. This green-colored enzyme solution, which may vary in shade from batch to batch, is clear to opalescent in appearance and contains a high glycerol content of approximately 54%, with the enzyme solution making up the remaining 46%. It exhibits a protease activity of at least 900 CPGU/ml and operates optimally within a pH range of 4.3 to 4.7. Accelerzyme CPG BF is kosher and halal approved, suitable for vegans and vegetarians, and free from genetically modified material. The product is designed primarily for the dairy industry, where it accelerates cheese ripening by releasing small peptides and amino acids, enhancing flavor development and reducing bitterness. This enzyme preparation shortens cheese aging times, leading to cost and energy savings and contributing to environmental sustainability. Additionally, the benzoate-free formulation supports clean label dairy products, meeting consumer demand for natural ingredients. With stringent microbiological and heavy metal specifications, Accelerzyme CPG BF ensures safety and quality, making it a valuable tool for cheesemakers seeking improved efficiency, taste optimization, and sustainable production.",N/A,(MANUAL_INPUT),"['Kosher', 'HALAL, JAKIM, MUI', 'Vegan', 'ISO', 'CODEX, JECFA']",PIM000003890-ACCELERZYME CPG.pdf,AAAA,"['Bio-Fermentation', 'Resource & Energy Optimization', 'Natural & Ethically Sourced']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
4,Afghanistan,FBI,Beverage & Dairy,AUSTRIA JUICE GmbH,['Plant (Vegetal)'],"['Alcoholic Beverage', 'Beverage', 'Bread, Cakes & Pastries, Frozen Dough', 'Confectionery', 'Dairy', 'Desserts & Ice Cream', 'Dressing', 'Processed Food', 'Sauces', 'Nutraceuticals - Drinks', 'Sweet Snack']","['Carrier & Bulking Agent', 'Colour & Colour Retention Agent', 'Flavour Enhancer', 'Flavouring & Flavour Modulation', 'Preservative', 'Sweetener']",Apple juice concentrate,N/A,Liquid,"Apple juice concentrate from AUSTRIA JUICE GmbH is a high-quality, clear, golden-yellow viscous liquid produced by physically removing water from freshly pressed juice of sound and ripe Malus domestica Borkh. apples. This concentrate typically contains 69.5 to 70.5 °Bx soluble solids, with a balanced total acidity of 1.8 to 2.7% as malic acid and a pH range of 3.0 to 4.2, ensuring a flavor profile that is typical and true to the natural fruit. The product complies with stringent European regulations, including directives on allergens, GMO content, heavy metals, mycotoxins, and pesticide residues, guaranteeing safety and quality. Its microbiological specifications ensure low microbial counts, making it suitable for diverse food and beverage applications. Apple juice concentrate serves as a natural sweetener and flavor enhancer, widely used in beverages such as fruit juices, nectars, soft drinks, and alcoholic beverages like cider. It is also valued in bakery and confectionery products for adding moisture and natural sweetness, as well as in dairy and frozen desserts to impart fruity flavor and balance tartness. Additionally, it is utilized in sauces, dressings, and health supplements, offering nutritional benefits including antioxidants and vitamin C. The concentrate's versatility, natural composition, and compliance with quality standards make it an excellent ingredient for manufacturers seeking to produce natural, flavorful, and health-conscious products. It is typically stored at 4 to 6 °C with a shelf life of six months, and packaging is provided as agreed with customers.",N/A,(MANUAL_INPUT),"['ISO', 'BIO', 'HACCP']",PIM000007436-Specification_1101103010101_Apple juice concentrate_Austria Juice Standard - Stock quality - Medium acidity.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan,FBI,Processed Food & Food Service,Exter B.V.,"['Plant (Vegetal)', 'Mineral, Inorganic', 'Semi-Synthetic, Modified Natural']","['Soup', 'Sauces', 'Dressing', 'Meat Products', 'Snacks (Salty)', 'Noodles', 'Seasonings', 'Processed Food']","['Flavour Enhancer', 'Flavouring & Flavour Modulation']",EXTER 100 - Bouillon,N/A,Liquid,"EXTER 100 - Bouillon from Exter B.V. is a savory soy-based liquid bouillon characterized by its rich brown color and a flavor profile that combines meaty, salty, and caramelized sweet notes. This liquid bouillon contains approximately 63% water and 16% salt, delivering 85 kcal per 100 grams, making it a flavorful yet balanced ingredient. It is crafted with authentic ingredients such as hydrolyzed vegetable protein, natural flavor enhancers, and fat, which contribute to its deep umami taste and rich mouthfeel. The product is versatile and widely used in various food applications including soups, broths, sauces, dressings, gravies, meat products, ready meals, snacks, noodles, and seasoning blends. EXTER 100 - Bouillon is suitable for vegetarian, halal, and kosher diets, and is free from allergens and artificial additives, aligning with clean label trends. It offers excellent heat and shelf-life stability, ensuring consistent flavor quality over time. Recommended dosage ranges from 0.5% to 2.0% by weight of the finished product, depending on the application. Packaged in 1200 kg IBC containers, it is designed for industrial use and storage at ambient temperatures with a shelf life of 24 months. This bouillon enhances natural flavors cost-effectively, making it an ideal choice for food manufacturers seeking authentic, savory, and allergen-free flavor solutions.",Salads: 0.50 - 1.50 %; Meat balls: 1.00 - 2.00 %; General recommended dosage level: 0.50 - 2.00 % by weight of finished product.,(MANUAL_INPUT),"['HALAL, JAKIM, MUI', 'Kosher']",PIM000008862-EXTER 100 TDS 2021.pdf,AAAA,"['Meat & Dairy Alternative', 'Natural & Ethically Sourced']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
6,Afghanistan,FBI,Processed Food & Food Service,"INDUSTRIAS ROKO, S.A.","['Algal, Marine', 'Plant (Vegetal)', 'Processing Aid, Carrier (solvents, anticaking agents, fillers)']","['Confectionery', 'Dressing', 'Sauces', 'Bread, Cakes & Pastries, Frozen Dough', 'Sweet Snack']","['Stabilizer & Thickener', 'Firming Agent', 'Flavouring & Flavour Modulation']",ROKOAGAR LS ORGANIC,9002-18-0,Powder,"ROKOAGAR LS ORGANIC is a free-flowing powder ranging in color from off-white to yellowish, composed entirely of pure refined agar, a natural polysaccharide extracted from red seaweed species such as Gelidium and Gracilaria. This product is manufactured by INDUSTRIAS ROKO, S.A. in compliance with organic production regulations (Regulation (CE) nº 2018/848) and certified organic by COPAE. ROKOAGAR LS ORGANIC serves as an effective gelling and stabilizing agent in various food applications, including confectionery, dietetic foods, dressings, jams, pastries, and sauces. It forms soft, thermo-reversible gels without the need for additional substances, providing a creamy, smooth texture and excellent water retention that enhances product shelf-life. The product also improves flavor release, mouthfeel, and spreadability, while maintaining low viscosity in hot solutions, making it versatile for diverse culinary uses. Its optimal dosage ranges from 0.2% to 1.5%, depending on the desired texture and application. ROKOAGAR LS ORGANIC is standardized with organic maltodextrin as needed and must be stored in a cool, dry place away from strong odors to preserve its quality.",0.2 - 1.5%. The optimal dosage will depend on specific application and preferred texture.,(MANUAL_INPUT),['BIO'],PIM000009406-Rokoagar LS ORGANIC - Food Applications Eng - E01.pdf,AAAA,"['Bio-Fermentation', 'Natural & Ethically Sourced']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan,FBI,Beverage & Dairy,Matrix Flavours & Fragrances Sdn Bhd,"['Nature-Identical (chemically equivalent to natural)', 'Synthetic, Chemically Manufactured', 'Processing Aid, Carrier (solvents, anticaking agents, fillers)']","['Beverage', 'Confectionery', 'Bread, Cakes & Pastries, Frozen Dough', 'Dairy', 'Sauces', 'Snacks (Salty)']",['Flavouring & Flavour Modulation'],APPLE FLAVOUR NPC1917M,N/A,Liquid,"APPLE FLAVOUR NPC1917M from Matrix Flavours & Fragrances Sdn Bhd is a liquid flavoring agent characterized by a sweet Fuji apple profile. It appears as a colorless to yellowish liquid with a refractive index between 1.42000 and 1.44000 and a specific gravity ranging from 1.00900 to 1.02900 at 27°C. The product is composed primarily of propylene glycol (E1520) and nature identical flavoring substances, blended and mixed into a homogenized liquid carrier. This flavoring is microbiologically stable due to its significant solvent and aromatic chemical content, which inhibits microbial growth. It is designed for use in food and beverage applications, particularly in confectionery, bakery, and beverages, with recommended usage levels between 0.1% and 0.5%. The product is halal certified, non-GMO, allergen-free, and complies with Malaysian food safety regulations. Packaged in HDPE containers of 5, 20, or 25 kg, it should be stored in a tightly closed container away from light, under dry conditions at 20° to 35°C, with a shelf life of 24 months. APPLE FLAVOUR NPC1917M offers manufacturers a reliable and high-quality apple flavoring solution suitable for enhancing the taste and aroma of a wide range of products such as baked goods, beverages, confectionery, dairy products, sauces, and snacks, providing a natural and appealing sweet apple note that enriches consumer experience.","Confectionery, bakery: 0.1000-0.5000%; Beverage: 0.1000-0.5000%",(MANUAL_INPUT),"['ISO', 'FSSC', 'HACCP', 'HALAL, JAKIM, MUI']",PIM000009441-SPEC APPLE FLAVOUR NPC1917M.pdf,AAAA,['Natural & Ethically Sourced'],(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
8,Afghanistan,FBI,Processed Food & Food Service,Naturis,['Plant (Vegetal)'],"['Soup', 'Sauces', 'Bread, Cakes & Pastries, Frozen Dough', 'Biscuit', 'Breakfast Cereals/Bars', 'Snacks (Salty)', 'Plant-Based Meat Alternative', 'Plant-Based Dairy Alternative', 'Processed Food', 'Meals Replacement']","['Dietary Fiber', 'Protein', 'Stabilizer & Thickener', 'Emulsifier', 'Fortification/Nutraceutical', 'Carrier & Bulking Agent']",Pre-gelatinized organic chickpeas flour,N/A,Powder,"Pre-gelatinized organic chickpeas flour from Naturis is a finely milled, yellow to light brown powder derived from organic chickpeas sourced from Italy and Argentina. This flour undergoes a pre-gelatinization process that breaks down starches, enabling it to dissolve easily in cold water, making it highly functional as a thickening agent. It boasts a high protein content of 22.3 g per 100 g and is rich in dietary fibers (22.5 g per 100 g), contributing to its nutritional value. The product exhibits excellent viscosity properties, with a peak viscosity around 7,669 cP and a final viscosity exceeding 11,500 cP, ideal for instant sauces, soups, purees, and hummus. Its emulsifying and gelling capabilities enhance texture and moisture retention in gluten-free baked goods and extruded snacks, while also improving powder flowability during processing. Certified organic, vegan, halal, and kosher, this flour is free from GMOs, nanoparticles, and ionizing radiation, ensuring a clean label. Packaged in 25 kg multi-ply kraft paper bags with valves, it has a shelf life of 12 months when stored in cool, dry conditions. Its versatility and functional benefits make it a valuable ingredient for dietary formulations, gluten-free products, and various food applications requiring natural thickening and nutritional enhancement.",N/A,(MANUAL_INPUT),"['BIO', 'HACCP', 'HALAL, JAKIM, MUI', 'Kosher', 'Vegan']",PIM000009983-YU15 rev02 - organic chickpeas flour.pdf,AAAA,"['Meat & Dairy Alternative', 'Natural & Ethically Sourced']",(MANUAL_INPUT),(MANUAL_INPUT),"['Cardiovascular health', 'Diabetes/Blood Sugar Management', 'General Health', 'Gut health', 'Immune system', 'Vitamins and Minerals', 'Weight Management', 'Women and Men wellness']",(MUST_INPUT)
9,Afghanistan,FBI,Beverage & Dairy,WILD,['Plant (Vegetal)'],"['Alcoholic Beverage', 'Baby Food', 'Beverage', 'Biscuit', 'Bread, Cakes & Pastries, Frozen Dough', 'Breakfast Cereals/Bars', 'Confectionery', 'Dairy', 'Desserts & Ice Cream', 'Dressing', 'Processed Food', 'Sauces', 'Sweet Snack', 'Nutraceuticals - Drinks', 'Nutraceuticals - Syrups']","['Flavouring & Flavour Modulation', 'Sweetener', 'Carrier & Bulking Agent', 'Preservative', 'Fortification/Nutraceutical', 'Colour & Colour Retention Agent']",Apple Juice Concentrate,N/A,Liquid,"Apple Juice Concentrate from WILD is a high-quality, natural fruit concentrate made exclusively from apple juice concentrate without any genetically modified ingredients. It is characterized by a refractometric Brix value of approximately 70 °Bx, indicating a dense, syrupy liquid rich in natural sugars and flavor compounds. The concentrate has a balanced acidity with a pH around 3.5 and total acidity measured as citric acid, ensuring a fresh and tangy apple flavor profile. Microbiologically, it maintains very low counts of lactic acid bacteria, yeasts, and molds, ensuring product safety and quality. Nutritionally, it provides a significant energy value of 302 kcal per 100 g, with high carbohydrate content primarily from natural sugars, and negligible fat and protein. The product is allergen-free, complies with European food legislation, and is produced under Good Manufacturing Practice and HACCP systems to prevent cross-contamination. Its concentrated form offers advantages such as reduced volume for transportation and storage, extended shelf life, and versatility in applications. Apple Juice Concentrate from WILD is widely used in the food and beverage industry as a natural sweetener and flavor enhancer in fruit juices, soft drinks, dairy products, baked goods, confectionery, sauces, and health supplements. Its natural composition and consistent quality make it ideal for manufacturers seeking authentic apple flavor and clean-label ingredients in their products.",100% JUICE: 167 kg : 1000 l,(MANUAL_INPUT),"['GMP', 'HACCP']",PIM000021685-Specification Apple JC 35209000710000 20180717.pdf,AAAA,"['Natural & Ethically Sourced', 'Resource & Energy Optimization']",(MANUAL_INPUT),(MANUAL_INPUT),"['Anti-aging, Antioxidant, Anti-Cancer, Anti-Inflammatory', 'Cardiovascular health', 'General Health', 'Immune system', 'Vitamins and Minerals']",(MUST_INPUT)
