,COUNTRY,BUSINESS_LINE,INDUSTRY_CLUSTER,SUPPLIER_NAME,COMPOSITIONS,APPLICATIONS,FUNCTIONS,PRODUCT_NAME,CAS_FROM_DOC,PHYSICAL_FORM,PRODUCT_DESCRIPTION,RECOMMENDED_DOSAGE,REGULATORY_REQUIREMENTS,CERTIFICATIONS,FILE_NAME,COMPANY_CD,CLAIMS,PDP_VDO,LIGHT_VERSION,RECOMMENDED_HEALTH_BENEFITS,SUSTAINABLE_DOC
0,Afghanistan,PCI,Cosmetics & Toiletries,"DKSH Marketing Services Spain, S.A.U.","['Mineral', 'Derived Natural']","['Skin Care', 'Soap & Bath', 'Hair Care', 'Color Care']","['Cleanser', 'Exfoliant', 'Filler', 'Skin Sensory Additive', 'Dye/Pigment']",Color Clay® CYDONIA,N/A,Powder,"Color Clay® CYDONIA is a natural beige Mediterranean clay produced by DKSH Marketing Services Spain, S.A.U., characterized by its quince yellow (ochre) homogeneous powder form and odourless nature. Composed primarily of illite with a high silicate content, it features finely processed particles with 95% under 44 microns, providing excellent absorption, mild mechanical cleansing, and gentle exfoliating properties. This clay's laminar silicate crystal structure and specific surface area enable it to absorb excess oils and impurities effectively, making it ideal for facial and body treatments such as masks, muds, and wraps. Its natural beige color offers stable pigmentation across various pH levels, suitable for use in soaps, creams, serums, and makeup products. Color Clay® CYDONIA is COSMOS certified, ensuring its suitability for natural and organic formulations. Its smooth texture and pleasant application enhance the sensory experience in personal care products, while its mineral-rich composition supports skin wellness. Due to its natural origin, slight color variations may occur between batches, and formulations typically require a suspending agent for stability. Overall, Color Clay® CYDONIA is a versatile, multifunctional ingredient widely used in cleansing, exfoliating, and coloring applications within the cosmetic industry.",N/A,(MANUAL_INPUT),['REACH'],PIM000000425-COLOR CLAY Cydonia Natural TDS.pdf,AAAA,"['Natural Cosmetic', 'COSMOS Standard', 'Purifying', 'Pore Refiner', 'Soothing', 'Skin Renewal', 'Skin Radiance']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
1,Afghanistan,PCI,Cosmetics & Toiletries,Colorclay S.L.,"['Mineral', 'Derived Natural']","['Color Care', 'Hair Care', 'Skin Care', 'Soap & Bath', 'Spa & Wellness', 'Sun Care']","['Anti-Deposition', 'Cleanser', 'Dispersing Agent', 'Dye/Pigment', 'Exfoliant', 'Filler', 'Rheology Modifier', 'Skin Sensory Additive', 'Texturizer', 'Visual Carrier']",Color Clay,N/A,Powder,"Color Clay® from Colorclay S.L. is a premium natural clay product sourced from the Mediterranean shore near Barcelona, Spain. This unique clay range is 100% natural, free from additives or chemicals, and produced using traditional methods to preserve its regional authenticity and purity. The product line includes a variety of colors such as Cedrus (reddish), Cocoa (dark brown), Corylus (brownish), Cydonia (light yellow), Ivory (white), Olea (light grey), Quercus (grey), Rosa (pinkish), Tilia (beige), and Vulcanus (dark grey), each rich in minerals and trace elements beneficial for skin health. Color Clay® features a laminar silicate crystal structure with finely ground particles below 44 microns, providing excellent absorption capacity, mild mechanical cleansing, and gentle exfoliation by removing dead skin cells to promote skin renewal. Its high mineral content closely resembles skin and cell constituents, enhancing nourishment and revitalization. The clay's laminar platelet morphology ensures smooth texture and excellent spreadability, improving the sensory experience in cosmetic formulations. Versatile in application, Color Clay® is used in facial and body masks, spa treatments, soaps, shampoos, emulsions, and color cosmetics, offering natural stable colors that remain consistent across pH levels. It also functions as an effective oil absorber, refreshing skin by reducing excess sebum. Committed to sustainability, Colorclay S.L. practices environmental stewardship through reforestation and land restoration efforts. Overall, Color Clay® embodies Mediterranean wellbeing, healthy habits, and beauty, making it an ideal natural ingredient for personal care products seeking purity, efficacy, and environmental responsibility.",N/A,(MANUAL_INPUT),['Natural Cosmetic'],PIM000000425-COLOR CLAY Natural Brochure.pdf,AAAA,"['Natural Cosmetic', 'Moisturizing', 'Purifying', 'Skin Renewal', 'Soothing', 'Nourishing', 'Anti-Inflammatory', 'Skin Barrier Function', 'Pore Refiner', 'Mattifying', 'Brightening']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
2,Afghanistan,PCI,Cosmetics & Toiletries,Phenbiox s.r.l.,"['Vegetal', 'Derived Natural']","['Skin Care', 'Hair Care', 'Soap & Bath', 'Spa & Wellness']","['Active', 'Antioxidant', 'Conditioner', 'Skin Sensory Additive']",ACTIVE JUICE CAVOLO NERO (KALE),"7732-18-5, 77-92-9, 5949-29-1, 532-32-1, 24634-61-5",Liquid,"ACTIVE JUICE CAVOLO NERO (KALE) from Phenbiox s.r.l. is a fresh vegetal juice derived from the leaves of kale (Brassica oleracea acephala). Presented as a water-based solution with a characteristic color and odor, it contains 20% kale juice along with citric acid, sodium benzoate, and potassium sorbate as preservatives. The product has an acidic pH ranging from 2.6 to 3.5 and is free from pathogens and genetically modified organisms, ensuring a natural and safe ingredient for cosmetic formulations. This juice is rich in vitamins A, C, and K, as well as minerals like iron and calcium, which contribute to its potent antioxidant and anti-inflammatory properties. These qualities make it highly beneficial for skin health by protecting against oxidative stress, stimulating collagen production, and promoting hydration and elasticity. Additionally, it supports hair and nail care by enhancing keratin synthesis and cellular regeneration. ACTIVE JUICE CAVOLO NERO (KALE) is ideal for use as an additive in skincare, haircare, and nail care products, helping to maintain a youthful, radiant appearance and overall vitality. The product should be stored in a cool, dry place away from light and heat to preserve its efficacy, and it has a shelf life of 12 months.",N/A,(MANUAL_INPUT),['Vegan'],PIM000000671-TDS Active Juice CAVOLO NERO (KALE).pdf,AAAA,"['Anti-Aging', 'Anti-Inflammatory', 'Anti-Oxidant', 'Skin Radiance', 'Skin Renewal', 'Elasticity', 'Moisturizing', 'Nourishing', 'Strengthening']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
3,Afghanistan,PCI,Cosmetics & Toiletries,"Sumitomo Seika Chemicals Co., Ltd.",['Synthetic'],"['Antiperspirants & Deodorants', 'Fabric care', 'Hair Care', 'Skin Care', 'Soap & Bath']","['Rheology Modifier', 'Stabilizer']",AQUPEC MG N40R,9003-04-7,Powder,"AQUPEC MG N40R, manufactured by Sumitomo Seika Chemicals Co., Ltd., is a pre-neutralized, water-soluble sodium carbomer presented as a white, spherical powder with an average particle size of 10 to 30 micrometers. This cross-linked acrylic polymer, chemically known as partially neutralized carboxyvinyl polymer sodium salt, exhibits a high thickening capacity with a viscosity range of 15,000 to 30,000 mPas at 0.5% aqueous concentration and a near-neutral pH of approximately 6. Its unique spherical particle shape ensures easy dispersion without the need for neutralization, preventing lump formation and enhancing flowability. AQUPEC MG N40R imparts a fresh, light texture and excellent sprayability to formulations, making it ideal for personal care products such as all-in-one gel creams, deodorant gels, milky lotions, shampoos, conditioners, and various skin care and beauty products. The polymer's rheology-modifying properties provide shear-thinning behavior, facilitating easy application and rub-in characteristics while minimizing creasing effects. Additionally, it acts as a stabilizer, maintaining emulsion and suspension stability, and supports formulation flexibility across a wide pH range and temperature conditions. Recognized for its innovative sensory benefits, AQUPEC MG N40R enhances product texture, stability, and user experience, streamlining manufacturing processes by eliminating the neutralization step and offering superior thickening and sensory performance in diverse cosmetic and personal care applications.","In the guideline formulation examples, AQUPEC MG N40R is used at concentrations of 0.90% in gel cream and 0.20% in milky lotion formulations. No specific dosage frequency or administration route is mentioned.",(MANUAL_INPUT),['REACH'],PIM000000677-AQUPEC_MG_N40R_TDS.pdf,AAAA,"['Conditioning', 'Film Forming', 'Moisturizing', 'Smoothing', 'Soft Focus']",(MANUAL_INPUT),(MANUAL_INPUT),[],(OPTIONAL)
4,Afghanistan,PCI,Cosmetics & Toiletries,"ASSESSA INDÚSTRIA, COMÉRCIO E EXPORTAÇÃO LTDA.","['Derived Natural', 'Biomolecule/Micro-organisms']","['Skin Care', 'Hair Care', 'Soap & Bath']",Unterminated string starting at: line 1 column 1510 (char 1509),ACTIMULSI GA 20,N/A,Powder,"ACTIMULSI GA 20 is a multifunctional bioactive ingredient produced by ASSESSA INDÚSTRIA, COMÉRCIO E EXPORTAÇÃO LTDA., derived from the exudate of Acacia Senegal, a leguminous tree native to semi-desert regions of Sub-Saharan Africa. This ingredient is primarily composed of Acacia Senegal Gum Extract, a branched heteropolysaccharide rich in galactose, glucose, rhamnose, xylose, and uronic acids, along with other plant secondary metabolites. Physically, it is a water-soluble gum that forms viscous solutions with excellent adhesive and film-forming properties. ACTIMULSI GA 20 functions as a natural co-emulsifier, stabilizing cosmetic emulsions and allowing significant reduction of synthetic emulsifiers like Laureth-23 without compromising stability. It enhances the sensory profile of formulations by imparting a dry, silky touch and improving texture, spreadability, and gloss. Additionally, it offers soothing and anti-inflammatory benefits, reducing TNF-α production and promoting skin regeneration by stimulating collagen I and III synthesis. Its applications include moisturizing creams, lotions, anti-aging emulsions, night creams, and scalp serums, where it improves skin and hair softness, combability, and cuticle alignment. Certified ECOCERT COSMOS NATURAL, ACTIMULSI GA 20 is non-toxic, biodegradable, and environmentally friendly, making it an excellent choice for natural, effective, and pleasant personal care products.","1.0 to 2.0% for moisturizing creams; 1.5 to 3.0% for moisturizing lotions, anti-ageing emulsions, night creams, and serums for the scalp",(MANUAL_INPUT),['REACH'],PIM000000948-TDS_Actimulsi GA20_Assessa.pdf,AAAA,"['Anti-Inflammatory', 'Conditioning', 'Firming', 'Moisturizing', 'Natural Cosmetic', 'Soothing', 'Skin Barrier Function', 'Skin Repair', 'Skin Renewal', 'Skin Radiance', 'Smoothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
5,Afghanistan,PCI,Cosmetics & Toiletries,Lessonia,"['Derived Natural', 'Vegetal', 'Synthetic']","['Bath & Toilet Cleaner', 'Fabric care', 'Laundry', 'Skin Care', 'Soap & Bath', 'Spa & Wellness']",['Exfoliant'],Celluloscrub 200,9004-35-7,Powder,"Celluloscrub 200 by Lessonia is a natural exfoliating ingredient composed entirely of cellulose acetate derived from sustainably managed European and North American forests. This biodegradable and renewable material is obtained through a meticulous manufacturing process involving grinding, sieving, and decontamination of cellulose acetate, resulting in a white, stable, and abrasive powder designed to replace polyethylene microbeads in cosmetic formulations. Celluloscrub 200 offers excellent suspension capacity and stability across various personal care products such as shower gels, hand soaps, bar soaps, foot scrubs, facial cleansers, and body care items. Its performance matches that of traditional polyethylene beads in terms of color, abrasiveness, and formulation compatibility, while providing an eco-friendly alternative that aligns with global regulatory standards, including approvals in China and compliance with European cosmetic regulations. Free from allergens, preservatives, heavy metals, and animal-derived substances, Celluloscrub 200 supports vegan, halal, kosher, gluten-free, and palm oil-free product claims. It is also free from microplastic classification, nanoparticles, and genetically modified organisms, making it a sustainable choice for manufacturers seeking effective exfoliation with minimal environmental impact.",N/A,(MANUAL_INPUT),"['REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Natural Cosmetic', 'Sustainable Palm Oil', 'Vegan', 'Moisturizing', 'Purifying', 'Skin Renewal', 'Skin Radiance', 'Smoothing', 'Soft Focus', 'Skin Barrier Function']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
6,Afghanistan,PCI,"Cosmetics & Toiletries, Homecare & Institutional Cleaning",Lessonia,"['Derived Natural', 'Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath', 'Hair Care']","['Exfoliant', 'Cleanser']",Celluloscrub 300,9004-35-7,Powder,"Celluloscrub 300 by Lessonia is a natural exfoliating ingredient composed of 100% cellulose acetate derived from sustainably managed European and North American wood pulp forests. This modified cellulose is processed through grinding, sieving, and decontamination to produce a biodegradable, eco-friendly alternative to traditional polyethylene microbeads used in personal care products. Celluloscrub 300 offers excellent exfoliation properties, effectively removing dead skin cells to promote smoother, more radiant skin. It maintains color stability and does not interfere with the pH of formulations, ensuring consistent product performance. Its versatility allows it to be used in a wide range of applications including facial cleansers, body scrubs, hand and foot care products, scalp exfoliants, and skin cleansing liquids. The ingredient is globally approved, free from allergens, preservatives, heavy metals, and harmful substances, and complies with REACH and cosmetic regulations. Additionally, it is vegan, gluten-free, palm oil-free, and not tested on animals, making it a sustainable and responsible choice for manufacturers seeking high-performance, environmentally conscious exfoliating solutions.",N/A,(MANUAL_INPUT),"['REACH', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Natural Cosmetic', 'Sustainable Palm Oil', 'Moisturizing', 'Skin Radiance', 'Skin Renewal', 'Soothing', 'Vegan']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
7,Afghanistan,PCI,"Cosmetics & Toiletries, Homecare & Institutional Cleaning",Lessonia,"['Derived Natural', 'Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath']","['Exfoliant', 'Rheology Modifier', 'Others']",Celluloscrub 500,9004-35-7,Powder,"Celluloscrub 500 by Lessonia is a natural exfoliating ingredient composed entirely of modified cellulose acetate derived from sustainably managed European and North American wood pulp forests. This finely processed material undergoes grinding, sieving, and decontamination to achieve a consistent particle size and purity, making it an excellent alternative to traditional polyethylene microbeads. Celluloscrub 500 offers comparable abrasiveness, color stability, and suspension capacity in cosmetic formulations such as facial and body scrubs, shower gels, lotions, hand soaps, and foot scrubs. Its 100% renewable and biodegradable nature addresses growing environmental concerns related to microplastic pollution, while its excellent skin compatibility ensures consumer safety and comfort. Approved globally, including in China, Celluloscrub 500 supports sustainable product development without compromising performance, making it a versatile and eco-friendly choice for personal care manufacturers seeking to align with modern regulatory and consumer demands.",N/A,(MANUAL_INPUT),"['REACH', 'Kosher', 'HALAL', 'Vegan', 'FDA']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Natural Cosmetic', 'Vegan', 'Moisturizing', 'Skin Radiance', 'Smoothing', 'Sustainable Palm Oil', 'Purifying']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
8,Afghanistan,PCI,"Cosmetics & Toiletries, Homecare & Institutional Cleaning",Lessonia,"['Derived Natural', 'Vegetal', 'Synthetic']","['Skin Care', 'Soap & Bath']","['Exfoliant', 'Rheology Modifier', 'Stabilizer', 'Dispersing Agent']",Celluloscrub 1000,9004-35-7,Powder,"Celluloscrub 1000 by Lessonia is a natural exfoliating ingredient derived from modified cellulose obtained from sustainably managed European and North-American wood pulp forests. It is produced through a meticulous process involving grinding, sieving, and decontamination of cellulose acetate, resulting in a 100% cellulose acetate composition. This ingredient serves as an eco-friendly and biodegradable alternative to traditional polyethylene microbeads, addressing environmental concerns associated with plastic pollution. Celluloscrub 1000 exhibits excellent suspension capacity and stability across various cosmetic formulations such as shower gels, hand soaps, bar soaps, foot scrubs, emulsions, and oil gels, maintaining consistent performance without altering pH or viscosity. Its white color remains stable in surfactant gels, and it provides effective exfoliation by matching the abrasiveness of polyethylene beads without causing skin irritation. Free from allergens, preservatives, heavy metals, and animal-derived substances, Celluloscrub 1000 aligns with vegan, halal, kosher, gluten-free, and palm oil-free standards. It is also free from nanoparticles, pesticides, and substances of very high concern, making it a safe and sustainable choice for personal care products focused on gentle yet effective skin exfoliation and environmental responsibility.",N/A,(MANUAL_INPUT),"['REACH', 'FDA', 'Kosher', 'HALAL', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Natural Cosmetic', 'Sustainable Palm Oil', 'Vegan', 'Moisturizing', 'Skin Renewal', 'Skin Radiance', 'Purifying', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
9,Afghanistan,PCI,Cosmetics & Toiletries,Lessonia,"['Derived Natural', 'Vegetal', 'Synthetic']","['Bath & Toilet Cleaner', 'Soap & Bath', 'Skin Care', 'Spa & Wellness']","['Exfoliant', 'Cleanser']",Celluloscrub XLS,9004-35-7,Powder,"Celluloscrub XLS by Lessonia is a natural exfoliating agent composed of 100% cellulose acetate derived from sustainably managed European and North American forests. This ingredient is produced through a meticulous process involving grinding, sieving, and decontamination of cellulose acetate, resulting in a biodegradable, renewable, and eco-friendly alternative to traditional polyethylene microbeads used in personal care products. Celluloscrub XLS offers excellent color stability, abrasiveness, and suspension capacity, making it ideal for formulations such as shower gels, hand soaps, bar soaps, and foot scrubs. It provides effective exfoliation by gently removing dead skin cells, promoting smoother and refreshed skin texture without altering the pH of cosmetic products. The ingredient is free from allergens, preservatives, heavy metals, pesticides, and harmful substances, and complies with international cosmetic regulations, including REACH and EU Cosmetic Regulation 1223/2009. Additionally, Celluloscrub XLS is vegan, gluten-free, palm oil-free, and not tested on animals, aligning with modern sustainability and ethical standards. Its biodegradable nature significantly reduces environmental impact, making it a preferred choice for manufacturers seeking to develop high-performance, environmentally responsible personal care formulations.",N/A,(MANUAL_INPUT),"['China Compliant', 'FDA', 'HALAL', 'ISCC / ISCC PLUS', 'Kosher', 'NATRUE Standard', 'REACH', 'Vegan']",PIM000002450-Celluloscrub_CosmeticIngredientDossier_ID 91.pdf,AAAA,"['Natural Cosmetic', 'Vegan', 'Sustainable Palm Oil', 'Moisturizing', 'Purifying', 'Skin Renewal', 'Skin Radiance', 'Soothing']",(MANUAL_INPUT),(MANUAL_INPUT),[],(MUST_INPUT)
